date,category,period,volume_actual,volume_baseline,avg_price,competitor_price,promo_depth,promo_share,feature_display,distribution_acv,tv_grps,digital_spend,avg_temp_c,consumer_confidence,cpi_food
2022-01-02,Ice Cream,history,780406.0,715192.3671406272,4.1106725541916145,4.307085862837891,23.100188124444625,62.97297919658324,24.284433610517375,68.9358219289229,90.55744287280623,74.4886489198958,4.503746616830196,93.86789218858914,
2022-01-09,Ice Cream,history,485250.0,464804.1397287661,4.6050612186024,4.528248134120487,16.045043761212618,39.78299842965386,32.00676311809856,67.52704904166599,0.0,63.06692753579499,4.688961220884122,93.32940949006152,
2022-01-16,Ice Cream,history,481054.0,464410.46088221134,4.213360992386491,4.294660859529212,26.85523372853547,43.74507695157631,15.624874143061408,70.10210361305884,0.0,0.0,4.091192657940171,93.99400340515226,
2022-01-23,Ice Cream,history,398197.0,376025.72472910554,4.513764951656804,4.349838827246745,17.81755437206445,37.711586773526186,17.35219730400109,69.0297215447292,74.88705046402421,60.30487300190292,3.9081664124442854,94.43986032625271,
2022-01-30,Ice Cream,history,561751.0,532063.9002197337,4.301963932499241,4.5313635762978635,20.250705850560955,52.60450039369047,15.667682931575213,69.04083100009534,163.82866315275731,29.39937526151119,4.192287348203582,94.61226968140988,
2022-02-06,Ice Cream,history,398248.0,383934.07684519544,4.466305162064414,4.791069937958961,19.36639549505503,36.12557473540236,14.982594612783316,68.30503396591263,135.439483003044,68.51462936902232,3.084073671717324,94.92428927625517,
2022-02-13,Ice Cream,history,492438.0,489675.9240024819,4.532273459353499,4.6704376096654405,24.387956523683755,31.1879360238453,18.70959498731168,67.94319805234929,0.0,35.470136078129975,4.50813648684579,97.5828927780204,
2022-02-20,Ice Cream,history,480414.0,476021.2948077149,4.337461299050905,4.411371702861182,25.687202231820415,42.74357341245579,18.94884771943096,68.54556974567878,60.22256825302697,32.47441587279375,3.095258147793161,95.07308645357624,
2022-02-27,Ice Cream,history,542536.0,535665.3699212773,4.551395784282486,4.283893694245929,24.220957436284262,26.141522609957757,18.337233681098844,69.6415987714991,0.0,32.14624468303182,6.976947320130494,94.13994843053426,
2022-03-06,Ice Cream,history,638346.0,594996.1927011563,4.644827127523388,4.651992993706954,20.522092599555844,27.9768969747764,19.981005759040507,69.15291654262487,66.13781156913531,0.0,8.716786890029756,94.09407174985618,
2022-03-13,Ice Cream,history,971859.0,903671.143358542,4.188810963457984,4.547001945957805,28.05685455025044,46.29541540328084,12.862049412929345,68.9240772641502,65.6864299400231,63.59124580427856,9.890205764530569,94.62966196031483,
2022-03-20,Ice Cream,history,596164.0,595907.9459093567,4.5981224508899965,4.326236364694857,18.069602681392187,35.109060345086945,16.539207190264797,69.32318969941885,0.0,0.0,10.772720748051718,95.08437474256432,
2022-03-27,Ice Cream,history,875265.0,839103.1340192814,4.3900153305577065,4.335379000231507,19.03153784254168,62.3416939177513,23.275691922684217,67.9870491822046,0.0,67.5372642134791,11.0877149234164,95.36020850805536,
